country,c1,c2,u1,u2
Austria,-3.8935792,3.3304548,5.871044,11.325072
Belgium,-4.0677214,4.105435,6.2635074,11.542947
Bulgaria,-6.11016,-2.5009398,-0.62780404,11.073219
Croatia,-2.8688333,-3.9636128,-3.911505,14.785382
Cyprus,-4.7952275,-3.0044882,-0.79830146,12.076579
Czechia,-3.4620616,-3.939351,-3.7107882,14.275651
Denmark,-4.4243073,-2.0422645,-0.5705392,12.557987
Estonia,-8.506289,-2.2459595,-0.92367905,9.420557
Finland,-4.102216,-2.6576352,-0.7983635,12.626326
France,-2.6918519,-4.410667,-4.3692884,14.8
Germany,-3.9411688,2.05677,4.836916,11.520471
Greece,-9.985641,-2.2463443,-1.0976003,8.371115
Hungary,-4.860723,-2.8004172,-0.3066529,12.247937
Ireland,-4.5516844,3.5507948,5.8321137,11.8187685
Italy,-6.5437474,-1.6378782,-0.08445694,10.547705
Latvia,-6.786631,-2.2648723,-0.47148648,10.666254
Lithuania,-10.113966,-2.688166,-1.4303353,8.555205
Luxembourg,-4.3535485,2.8952355,5.465427,11.448235
Malta,-7.6481466,-2.3938668,-0.64443403,10.112269
Netherlands,-4.302576,2.3936577,5.171043,11.405107
Poland,-9.490837,-2.697496,-1.006387,8.748564
Portugal,-9.393791,-2.1303177,-1.3923775,8.9512005
Romania,-5.1666393,1.8753208,5.0942607,10.806737
Slovakia,-3.096567,-4.5376134,-4.1554375,14.482366
Slovenia,-7.095525,-1.5866094,-0.10083959,10.129012
Spain,-6.299843,-2.7974463,-0.36963204,11.327532
Sweden,-4.790825,2.790616,5.011714,11.121958
