country,c1,c2,u1,u2
Austria,3.8825428,-16.096577,4.113293,-4.5007286
Belgium,20.80163,-28.614004,4.447544,-5.7068553
Bulgaria,1.4164077,12.430537,5.167508,-1.5707018
Croatia,-15.59653,-12.678505,4.5034432,-1.3648292
Cyprus,-1.8618433,2.1136384,4.5968256,-2.0537455
Czechia,-5.332343,10.273917,5.5551386,-1.8302716
Denmark,8.511416,-20.868025,4.4976015,-4.8515825
Estonia,3.9742556,1.8468088,4.281774,-2.357984
Finland,1.3943347,-4.5311003,4.3461776,-3.2292383
France,12.326719,-28.618166,4.0111327,-5.5300903
Germany,-6.973214,24.37889,3.6969922,-2.4149432
Greece,0.85620654,-24.326813,3.695636,-4.922721
Hungary,-5.8772197,19.379704,3.9004674,-2.0391629
Ireland,10.017853,-15.627046,4.313637,-5.0990376
Italy,-3.9158804,-28.959352,3.4486704,-4.4589715
Latvia,-7.352302,-0.2623162,4.996018,-2.5711827
Lithuania,-4.483115,-5.108968,4.9644,-2.9144168
Luxembourg,-21.788805,11.297568,6.2389936,-3.062046
Malta,6.079987,-6.9145284,4.8413806,-3.4826963
Netherlands,16.047028,-22.931143,4.7086773,-5.4344378
Poland,-11.696916,5.902311,5.6424074,-2.4584782
Portugal,-5.7998986,-12.869281,3.9596467,-3.7817287
Romania,0.5937426,-10.743894,4.57379,-3.9772923
Slovakia,5.485716,16.598557,5.023016,-1.2419084
Slovenia,-20.969809,3.8091607,6.5004053,-2.533729
Spain,16.43451,8.559923,6.2350917,-2.1930792
Sweden,-17.245033,9.936727,6.1289635,-2.547544
