country,c1,c2,u1,u2
Austria,2.1331723,0.880417,8.851724,13.734783
Belgium,-0.9528058,3.2238655,8.458316,13.048565
Bulgaria,-2.789666,6.545225,7.765627,13.567244
Croatia,-1.6986294,-4.2570963,7.6140165,11.963417
Cyprus,-0.40683058,0.13101624,9.172296,12.885329
Czechia,7.398172,-7.2456846,11.000019,12.786716
Denmark,5.6727,4.941407,9.816494,13.661414
Estonia,-4.155958,-2.3496513,8.242239,11.751749
Finland,-1.9141263,-1.9956034,7.564972,12.526278
France,-9.483067,-6.559796,8.665115,11.035902
Germany,5.6749544,-8.573379,10.838206,12.473377
Greece,3.830493,4.0262895,9.457866,13.98622
Hungary,9.874261,-7.783824,11.297962,12.396981
Ireland,0.65618914,-2.5365455,9.431279,12.367901
Italy,-9.463257,-1.5945085,9.752866,11.526702
Latvia,-3.634054,-4.4895763,7.813096,11.528039
Lithuania,-6.797134,-6.4875393,8.2106905,11.125143
Luxembourg,-4.346731,-0.04418372,8.750267,12.094647
Malta,3.870327,-0.2028046,8.898734,14.418079
Netherlands,-0.20130926,7.1218677,7.906027,13.294939
Poland,-4.1158657,8.775376,8.1179,14.023472
Portugal,3.7330623,-5.518947,10.473293,12.2534895
Romania,4.521696,-3.8818467,10.629348,13.3080435
Slovakia,5.3826103,2.0658817,9.524558,14.360186
Slovenia,6.5570674,-2.4507492,10.185561,13.186646
Spain,-7.2239466,-3.299201,9.217252,11.430136
Sweden,-2.2901373,1.3909093,8.693107,12.618552
