country,c1,c2,u1,u2
Austria,2.3671792,-2.4297001,11.318911,10.632603
Belgium,1.9411865,-1.317963,10.7975855,10.912763
Bulgaria,-0.8479036,-7.347476,10.797103,12.5365095
Croatia,3.4065819,-5.786348,13.558102,10.51299
Cyprus,2.785419,-3.9209352,12.492146,11.324264
Czechia,5.062512,-4.4639535,13.654622,11.9805155
Denmark,1.4878367,-3.8491974,12.608555,11.868364
Estonia,4.3578115,-5.870292,13.908872,11.214973
Finland,3.6165066,-5.479014,13.452652,10.807219
France,-1.1220546,-7.487758,11.049433,12.342286
Germany,0.27781993,-3.0234294,12.964868,12.304972
Greece,4.7878456,0.1979902,10.6859,9.78446
Hungary,-1.5416344,-1.2667941,13.40183,12.776341
Ireland,-1.4819341,-1.321693,13.160815,13.016489
Italy,3.8589303,0.010422707,11.282335,9.71082
Latvia,3.246515,-1.0594296,11.129064,10.299887
Lithuania,2.316194,-4.928243,12.074216,10.475826
Luxembourg,2.471355,-3.2685122,11.377234,11.313733
Malta,1.4504524,-3.2573276,12.102872,12.180908
Netherlands,-0.39253283,-2.1941712,12.612412,12.748617
Poland,4.7792706,-6.8654895,14.081015,10.975977
Portugal,2.1269898,-6.132365,12.599016,10.413803
Romania,-0.9456092,-7.403473,11.128771,12.67904
Slovakia,3.7889867,-4.10934,13.289652,11.476336
Slovenia,2.012774,-4.4363194,11.883164,11.210576
Spain,4.051203,-0.13058352,10.84165,9.511518
Sweden,1.9760488,-3.406534,11.989562,11.749168
