country,"NO&T Distribution, Heat, TWh","NO&T Trade, Energy, Scenario",NO&T Programme Design Priority,"P&M Distribution, Heat, TWh","P&M Trade, Energy, Scenario",P&M Programme Design Priority,"CS&RP Distribution, Heat, TWh","CS&RP Trade, Energy, Scenario",CS&RP Programme Design Priority,c1,c2,u1,u2
Austria,0.320800006,0.291299999,0.388000011,0.40079999,0.218500003,0.380699992,0.326000005,0.34799999,0.326000005,36.46154,83.37434,-10.798788,20.746061
Belgium,0.49180001,0.200800002,0.307500005,0.654399991,0.103500001,0.2421,0.352600008,0.373899996,0.273499995,127.36465,13.999943,-11.090201,19.474752
Bulgaria,0.189500004,0.51730001,0.293199986,0.146200001,0.123999998,0.729799986,0.170399994,0.678799987,0.150800005,-106.88627,-111.8678,-8.62772,17.111738
Czechia,0.234099999,0.422399998,0.343499988,0.238700002,0.224999994,0.536199987,0.0911,0.816399992,0.092500001,-128.23105,-83.274826,-9.168574,17.020893
Cyprus,0.322100013,0.266099989,0.411799997,0.301699996,0.244000003,0.454299986,0.317299992,0.3662,0.316500008,1.7656009,88.21664,-10.71105,21.489805
Germany,0.335399985,0.311500013,0.353100002,0.252900004,0.122199997,0.624899983,0.328399986,0.362399995,0.309100002,75.67479,-56.21918,-10.397131,21.71158
Denmark,0.344199985,0.336100012,0.319700003,0.367199987,0.260500014,0.372299999,0.294,0.44690001,0.25909999,31.086819,18.05657,-12.184224,20.160524
Estonia,0.372700006,0.296000004,0.33129999,0.402700007,0.230599999,0.366699994,0.25850001,0.56279999,0.1787,-12.57118,-58.147964,-10.872984,17.709417
Croatia,0.281500012,0.347900003,0.370599985,0.28549999,0.25909999,0.455300003,0.2403,0.512000024,0.247799993,-45.92878,-6.3623743,-9.466266,18.523188
Finland,0.3134,0.352499992,0.334100008,0.335999995,0.273799986,0.390199989,0.319900006,0.412999988,0.267100006,4.992071,27.96382,-12.167203,20.806507
France,0.386500001,0.28459999,0.328900009,0.515900016,0.224199995,0.259799987,0.908999979,0.045200001,0.0458,109.31046,72.177765,-10.9713,20.208078
Malta,0.346899986,0.308899999,0.344300002,0.359499991,0.269300014,0.371199995,0.323100001,0.373100013,0.303799987,45.229317,48.449203,-11.322305,20.678066
Luxembourg,0.33070001,0.321700007,0.347600013,0.3204,0.252999991,0.426499993,0.314700007,0.380600005,0.304699987,-7.4915857,58.581795,-11.33216,21.309742
Lithuania,0.328700006,0.353599995,0.317799985,0.468199998,0.202900007,0.328900009,0.308899999,0.431100011,0.259900004,70.03422,15.495117,-11.637178,20.072739
Latvia,0.351900011,0.328000009,0.320199996,0.315800011,0.301899999,0.382299989,0.389999986,0.37529999,0.234799996,71.24031,64.20613,-11.754636,20.842224
Italy,0.482499987,0.208399996,0.309100002,0.614700019,0.124600001,0.260699987,0.280800015,0.494599998,0.224600002,125.73089,-9.563152,-11.061764,18.976904
Ireland,0.345800012,0.249300003,0.404900014,0.351999998,0.193000004,0.455000013,0.282700002,0.519200027,0.198100001,-10.400662,-24.498474,-10.225013,18.415266
Hungary,0.236900002,0.44600001,0.317200005,0.243599996,0.306100011,0.450300008,0.071800001,0.858799994,0.069399998,-124.17979,-55.000706,-9.367458,16.727856
Spain,0.342799991,0.330799997,0.326400012,0.356099993,0.214300007,0.4296,0.167899996,0.687099993,0.144999996,-52.528168,-77.07344,-9.877794,17.578108
Netherlands,0.373100013,0.250499994,0.376399994,0.3838,0.248099998,0.368200004,0.286799997,0.512199998,0.201000005,14.556766,-40.79545,-11.200331,18.132261
Poland,0.294699997,0.332700014,0.372599989,0.221499994,0.207399994,0.571099997,0.210199997,0.564899981,0.224800006,-71.849335,-18.395983,-9.042572,18.111479
Portugal,0.364100009,0.286799997,0.349099994,0.389600009,0.209000006,0.4014,0.36649999,0.424800009,0.208700001,43.54979,-9.006772,-11.873374,19.6088
Romania,0.262800008,0.373100013,0.364100009,0.208800003,0.2271,0.56400001,0.093999997,0.803499997,0.102499999,-101.88113,-76.77714,-8.823842,16.76111
Sweden,0.304699987,0.368999988,0.326299995,0.335799992,0.271200001,0.393000007,0.321999997,0.386099994,0.291999996,19.219908,52.089615,-11.911389,21.266773
Slovenia,0.369500011,0.277200013,0.353300005,0.373400003,0.28639999,0.340200007,0.228799999,0.570800006,0.200499997,8.2536955,-73.45782,-10.587894,18.03241
Slovakia,0.243900001,0.371300012,0.384799987,0.333400011,0.227599993,0.439099997,0.190400004,0.636099994,0.173500001,-63.00943,-51.98141,-9.437494,17.815172
