country,c1,c2,u1,u2
Austria,11.803142,4.4090223,3.9937093,0.8723663
Belgium,10.145658,-0.61889935,5.376009,0.104710475
Bulgaria,4.727174,-0.006491095,7.404351,0.6835445
Croatia,2.7995613,3.0543752,6.964369,1.6983482
Cyprus,9.515598,3.9228208,3.6766207,1.1378386
Czechia,-0.010975115,-3.0869853,8.452761,1.0438414
Denmark,10.6387825,3.5414906,3.5401616,0.7533398
Estonia,5.2236996,-2.5316021,6.829855,-0.6500394
Finland,8.385387,0.99007237,4.880244,0.4714972
France,9.8468685,2.4896908,4.479107,0.98002404
Germany,7.7071447,-4.332034,7.093723,-1.4989904
Greece,6.4154773,-3.2795036,6.8111305,-1.2305385
Hungary,3.8895426,-1.8698939,7.548246,-0.20974484
Ireland,5.7228694,2.2894795,6.2758265,1.2406404
Italy,0.4574002,-3.9050393,8.278168,0.7234645
Latvia,6.093137,-1.8875074,7.384323,-0.9515956
Lithuania,3.5653615,0.71349156,6.9672847,1.027276
Luxembourg,7.9620657,1.94402,5.207444,0.931277
Malta,4.701441,1.1814175,7.3144464,1.3957187
Netherlands,12.954304,4.7377324,3.7234526,0.5237387
Poland,-1.3776631,-3.0803118,8.685445,0.4957502
Portugal,6.5366473,1.4974729,5.766905,1.1901138
Romania,2.4840677,-2.7369938,7.967939,0.023256892
Slovakia,1.9963748,-1.0313587,7.8134227,-0.75309706
Slovenia,5.4082556,-0.7663456,7.141812,-0.099986225
Spain,4.8174047,3.3748693,6.4824185,1.6560947
Sweden,8.507108,-0.9232164,5.7147355,-0.28349856
