,topic_id,word,importance,word_count
0,0,coal,0.007897189,189
1,0,law,0.0061556096,171
20,2,o,0.005830468,160
21,2,excise,0.005709979,158
30,3,coal,0.0053236084,189
2,0,european commission,0.005320451,114
31,3,o,0.005188808,160
22,2,eur million,0.005183511,141
23,2,coal,0.005135278,189
32,3,excise,0.0050084833,158
24,2,rdi,0.0044968803,131
10,1,add value,0.004375914,78
11,1,o,0.004351559,160
33,3,law,0.0043388624,171
25,2,law,0.0042053564,171
12,1,heat pump,0.00419042,105
3,0,document,0.004160658,86
13,1,law,0.0041249506,171
34,3,innovative technology,0.0041197804,108
35,3,exemption,0.004092129,138
4,0,rdi,0.0040794485,131
14,1,eur million,0.0040759607,141
15,1,labour,0.0040174825,56
5,0,exemption,0.0040168413,138
26,2,exemption,0.0039118663,138
6,0,excise,0.0038388933,158
36,3,eur million,0.0037816383,141
7,0,direction,0.0037194022,55
16,1,conventional,0.0035634383,61
17,1,agenda,0.0035426514,60
8,0,nuclear power plant,0.0035236531,54
9,0,article,0.0035093545,100
18,1,orient,0.003495911,68
19,1,exemption,0.0033404862,138
27,2,demonstration project,0.003067216,87
37,3,heat pump,0.003058404,105
38,3,european commission,0.002984473,114
28,2,article,0.002981019,100
39,3,low emission,0.0029803433,90
29,2,decree,0.0029334067,91
