country,c1,c2,u1,u2
Austria,17.5419,9.637611,6.581963,4.0322495
Belgium,5.6654177,-27.113302,9.279207,5.028987
Croatia,28.182985,15.215007,6.061066,4.212525
Cyprus,-16.634624,3.6555057,7.3030734,6.37302
Denmark,-6.9223595,-4.743804,8.230746,5.136713
Estonia,-15.97749,-36.67988,9.151676,6.017551
Finland,-16.931297,-24.787426,8.692442,5.9301424
France,11.326954,-12.768934,8.811702,4.177175
Germany,-16.054855,-7.883075,7.8619604,5.6879306
Greece,-31.55335,-17.811132,8.207395,6.290037
Hungary,1.7858206,20.812897,5.978463,5.3440137
Ireland,9.012312,14.127068,6.5451202,4.551686
Italy,-21.539259,11.425354,7.0148134,6.776291
Lithuania,-27.340595,-2.203209,7.776363,6.55972
Luxembourg,0.71422637,-10.700558,9.105413,4.507612
Malta,-21.340942,27.10143,6.2218456,6.966304
Romania,-10.81881,30.33992,5.9298477,7.2793136
Slovakia,-13.243299,18.882643,6.703978,7.082949
Slovenia,7.6267653,-3.0731933,8.416772,4.0973997
Spain,-7.448809,-25.028847,9.319911,5.542641
Sweden,13.3012705,23.493553,6.1962066,4.837
