,topic_id,word,importance,word_count
40,4,plan total allocation,0.008983879,45
30,3,research innovation,0.008312757,45
0,0,research innovation,0.008212029,45
20,2,rrp,0.008205118,44
21,2,plan total allocation,0.008037027,45
31,3,education skill,0.0073390626,36
1,0,rrp,0.0072729336,44
41,4,rrp,0.007266452,44
2,0,digitalisation public administration,0.007159634,36
3,0,social cohesion,0.0069663124,33
4,0,digital transformation,0.006776932,36
32,3,digital transformation,0.006772584,36
10,1,plan total allocation,0.006446204,45
42,4,research innovation,0.00642041,45
11,1,research innovation,0.0060159257,45
33,3,plan total allocation,0.006005743,45
22,2,research innovation,0.0059333527,45
43,4,digitalisation public administration,0.005842819,36
34,3,social cohesion,0.0058371406,33
35,3,rrp,0.0057560154,44
12,1,justice,0.005689043,33
13,1,rrp,0.005636605,44
5,0,energy efficiency,0.0055948296,33
14,1,estimate total cost,0.005589172,30
44,4,digital transformation,0.0055829445,36
23,2,social cohesion,0.005529821,33
45,4,gap,0.005513293,26
46,4,education skill,0.00545828,36
24,2,digitalisation public administration,0.0054316283,36
6,0,plan total allocation,0.0054278434,45
15,1,recovery resilien ce challengesscenesetter,0.005417009,27
25,2,justice,0.0054169716,33
7,0,estimate total cost,0.005400173,30
16,1,digitalisation public administration,0.0053951563,36
26,2,education skill,0.005351362,36
27,2,energy efficiency,0.0052939868,33
8,0,education skill,0.0052601285,36
9,0,digital objective,0.0052569956,30
47,4,institutional resilience,0.0052508335,27
17,1,renewable energy,0.0052046133,30
36,3,recovery resilien ce challengesscenesetter,0.0051855166,27
18,1,economic growth,0.0051364177,30
48,4,energy efficiency,0.005121641,33
37,3,renewable energy,0.005070073,30
38,3,justice,0.0050687664,33
28,2,economic growth,0.0050235037,30
39,3,benefit,0.0050152275,29
49,4,economic growth,0.00499341,30
19,1,energy efficiency,0.0049830307,33
29,2,institutional resilience,0.004895425,27
