country,c1,c2,u1,u2
Austria,39.349964,-3.989127,0.16482687,5.738345
Belgium,7.9960046,-6.7432876,-1.4948773,4.935737
Croatia,4.1076965,-12.419192,-2.2288234,4.8094425
Cyprus,0.5270566,-20.890015,-2.1833646,5.248791
Denmark,18.59804,-4.1469164,-0.23640144,4.594322
Estonia,-0.07292665,9.930716,-3.6181586,6.219357
Finland,3.3920586,2.4102051,-3.387967,5.7556353
France,-8.915686,-4.2455673,-1.4747106,6.2646036
Germany,16.00074,12.762715,-1.1058183,4.344789
Greece,11.912549,-16.797272,-2.5849867,4.4352508
Hungary,16.513443,-22.905647,-3.2582111,4.757155
Ireland,24.11632,12.09501,-0.7145803,4.232689
Italy,-17.211128,1.3134329,-1.9544225,6.4640265
Lithuania,-4.9912376,4.9658794,-3.1019702,6.3042827
Luxembourg,13.857213,1.7966927,0.26883918,4.877065
Malta,30.747387,-4.614825,0.42839947,5.2983985
Slovakia,-0.40663508,-6.7401786,-2.107084,5.854317
Slovenia,-8.387155,-11.7061,-0.76159227,5.9040794
Spain,14.82265,-32.185795,-3.588462,5.1629677
Sweden,21.742947,2.1969423,-0.37009615,5.1807613
