country,Renewable Energy Boost,"Renewable Energy, Address Challenge, Equal Opportunity",EU Cohesion Policy,"EU Investment, Gender Equality, Circular Economy",EU Investment Plan
Austria,0.24950000643730164,0.2168000042438507,0.1624000072479248,0.19599999487400055,0.1753000020980835
Belgium,0.20090000331401825,0.19789999723434448,0.20350000262260437,0.19789999723434448,0.19990000128746033
Croatia,0.20010000467300415,0.1987999975681305,0.20409999787807465,0.19589999318122864,0.2011999934911728
Cyprus,0.19840000569820404,0.20520000159740448,0.2053000032901764,0.19179999828338623,0.19930000603199005
Denmark,0.19900000095367432,0.20160000026226044,0.20080000162124634,0.20270000398159027,0.19580000638961792
Estonia,0.19329999387264252,0.19939999282360077,0.2004999965429306,0.20020000636577606,0.20659999549388885
Finland,0.19619999825954437,0.1979999989271164,0.20160000026226044,0.20190000534057617,0.20229999721050262
France,0.20250000059604645,0.19760000705718994,0.19769999384880066,0.19769999384880066,0.20440000295639038
Germany,0.2045000046491623,0.19380000233650208,0.2053000032901764,0.20000000298023224,0.1964000016450882
Greece,0.19609999656677246,0.19840000569820404,0.20890000462532043,0.19750000536441803,0.19910000264644623
Hungary,0.19050000607967377,0.19699999690055847,0.20990000665187836,0.20029999315738678,0.20229999721050262
Ireland,0.20020000636577606,0.19419999420642853,0.20630000531673431,0.20589999854564667,0.19329999387264252
Italy,0.2004999965429306,0.19679999351501465,0.19769999384880066,0.1914999932050705,0.2134000062942505
Lithuania,0.19609999656677246,0.19529999792575836,0.1995999962091446,0.20260000228881836,0.20640000700950623
Luxembourg,0.19910000264644623,0.20029999315738678,0.19869999587535858,0.20399999618530273,0.19779999554157257
Malta,0.20340000092983246,0.20720000565052032,0.18700000643730164,0.21089999377727509,0.1914999932050705
Slovakia,0.19869999587535858,0.2011999934911728,0.20110000669956207,0.19660000503063202,0.20229999721050262
Slovenia,0.2037000060081482,0.20110000669956207,0.19629999995231628,0.19789999723434448,0.20090000331401825
Spain,0.17800000309944153,0.19439999759197235,0.21369999647140503,0.20020000636577606,0.21359999477863312
Sweden,0.20149999856948853,0.20090000331401825,0.20069999992847443,0.20200000703334808,0.1949000060558319
