,topic_id,word,importance,word_count
40,4,rrp,0.015934896,152
20,2,rrp,0.0141562335,152
30,3,rrp,0.0125022605,152
10,1,rrp,0.010980969,152
0,0,rrp,0.010698774,152
21,2,policy area,0.008970497,81
41,4,policy area,0.008143769,81
31,3,policy area,0.0066116145,81
11,1,policy area,0.006299504,81
12,1,renewable energy,0.006235796,63
42,4,public sector,0.006229047,63
32,3,eu average,0.0061500575,60
1,0,public sector,0.0060031395,63
2,0,renewable energy,0.0057978057,63
33,3,public sector,0.0055299,63
34,3,renewable energy,0.005468557,63
35,3,gender equality,0.0053671584,54
36,3,eur million,0.0053577446,54
3,0,eu average,0.0052521387,60
43,4,eu average,0.0051393136,60
13,1,address challenge,0.0049492377,42
22,2,cohesion policy,0.0049303323,48
14,1,public sector,0.004929616,63
44,4,eur million,0.0048718895,54
4,0,gender equality,0.0048093493,54
23,2,gender equality,0.0047918204,54
37,3,energy efficiency,0.0047872216,48
24,2,renewable energy,0.0047369055,63
5,0,boost,0.0046583684,47
15,1,eu average,0.0046559027,60
45,4,renewable energy,0.0046236785,63
6,0,ministry finance,0.0045324676,42
7,0,eur million,0.004513243,54
8,0,policy area,0.004436607,81
16,1,energy efficiency,0.0044300226,48
17,1,boost,0.004428707,47
46,4,gender equality,0.004419877,54
25,2,eu average,0.004413868,60
47,4,sustainable transport,0.004413214,42
18,1,cohesion policy,0.0043614414,48
9,0,energy efficiency,0.004317627,48
38,3,cohesion policy,0.0042316755,48
26,2,eur million,0.004210592,54
27,2,sustainable transport,0.0042050765,42
28,2,public sector,0.0041720737,63
19,1,eur million,0.0041415286,54
48,4,energy efficiency,0.0040579364,48
29,2,water,0.0040390673,39
49,4,implementation phase,0.0038750232,42
39,3,boost,0.0037619958,47
