country,c1,c2,u1,u2
Austria,-9.620914,0.10793328,4.160393,6.5647216
Belgium,-15.577563,7.233949,1.5254073,6.192256
Croatia,-19.025549,0.5786305,6.6386395,6.9964967
Cyprus,-20.960331,2.2076778,6.9428353,6.641415
Denmark,-20.890892,4.9482913,1.1987516,7.598735
Estonia,-14.12495,-0.5015274,4.8045406,6.4964175
Finland,-19.278408,2.6790934,6.853741,6.1765513
France,-17.852228,7.6587296,0.92284954,6.900367
Greece,-12.078898,2.9329698,3.53092,6.908694
Hungary,-19.273554,6.313272,1.4233931,6.828718
Ireland,-18.472555,9.5821705,0.51438785,6.7480297
Italy,-14.2802515,4.907135,2.1736946,6.365843
Lithuania,-15.982972,-0.77117664,5.436819,6.5166364
Luxembourg,-16.526382,5.913655,0.97349876,6.231045
Malta,-17.17954,1.1425102,6.307658,6.299509
Romania,-8.703239,-1.7676249,3.795814,6.099254
Slovakia,-11.801173,0.4757696,3.615427,6.524956
Slovenia,-13.612633,1.6247182,4.105322,7.160856
Spain,-17.06791,-5.0305743,6.139383,6.806971
Sweden,-18.1357,4.782994,1.5541073,7.32771
