country,c1,c2,u1,u2
Austria,-77.96123,-62.421463,14.17131,-1.1362277
Belgium,-75.871155,57.761993,11.686779,-2.1627135
Croatia,59.74642,-20.435955,13.91208,-1.6016384
Cyprus,-13.278069,-41.2425,14.657163,-3.8609471
Denmark,-38.483013,-4.1824636,13.066773,-2.2966962
Estonia,-3.58699,52.981766,15.296119,-3.1163116
Finland,5.7085347,-15.057269,14.541211,-2.5367308
France,32.820766,-18.933685,13.290258,-1.6593219
Germany,51.86849,-52.619766,13.575302,-1.0173837
Greece,1.437829,22.116682,14.808698,-2.924438
Hungary,45.782547,43.490616,14.136024,-4.086565
Ireland,11.287764,-37.82512,14.951121,-3.4970841
Italy,-19.296015,-18.661888,12.765638,-2.7074637
Lithuania,-26.371725,18.454004,13.068781,-3.1843312
Luxembourg,-45.22992,-37.184002,14.120597,-3.7335417
Malta,-2.116381,-77.251564,14.844608,-4.3666744
Slovakia,-84.32645,36.647087,11.846949,-2.5545287
Slovenia,-9.146777,1.4287162,14.091362,-3.2170317
Spain,-97.196884,55.18845,12.15524,-2.0906413
Sweden,19.76331,5.5211377,13.962789,-2.651442
